142857 is cyclic
0588235294117647 is cyclic
052631578947368421 is cyclic
0434782608695652173913 is cyclic
0344827586206896551724137931 is cyclic
0212765957446808510638297872340425531914893617 is cyclic
0169491525423728813559322033898305084745762711864406779661 is cyclic
016393442622950819672131147540983606557377049180327868852459 is cyclic
01 is not cyclic
758241 is not cyclic
0588235294117646 is not cyclic
152631578947368421 is not cyclic
04347826086956521739130 is not cyclic
034482758620689655172413793 is not cyclic
0212765957446808501638297872340425531914893617 is not cyclic
0169491525423728813559322033898305084745762711864406779666 is not cyclic
485767305968737584736478947631110239847564719283674623819109 is not cyclic
999999999999999999999999999999999999999999999999999999999999 is not cyclic
