1 0 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
2 0 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
3 0 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
4 0 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
5 0 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
6 0 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
7 0 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
8 0 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
9 0 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
10 0 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
11 0 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
12 0 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
13 0 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
14 0 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
15 0 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
16 0 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
17 0 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
18 0 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
19 0 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
20 0 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
21 0 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
22 0 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
23 0 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
24 0 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
25 1 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
26 1 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
27 1 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
28 1 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
29 1 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
30 1 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
31 1 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
32 1 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
33 1 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
34 1 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
35 1 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
36 1 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
37 1 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
38 1 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
39 1 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
40 1 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
41 1 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
42 1 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
43 1 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
44 1 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
45 1 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
46 1 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
47 1 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
48 1 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
49 1 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
50 2 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
51 2 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
52 2 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
53 2 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
54 2 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
55 2 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
56 2 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
57 2 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
58 2 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
59 2 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
60 2 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
61 2 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
62 2 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
63 2 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
64 2 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
65 2 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
66 2 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
67 2 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
68 2 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
69 2 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
70 2 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
71 2 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
72 2 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
73 2 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
74 2 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
75 3 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
76 3 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
77 3 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
78 3 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
79 3 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
80 3 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
81 3 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
82 3 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
83 3 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
84 3 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
85 3 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
86 3 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
87 3 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
88 3 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
89 3 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
90 3 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
91 3 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
92 3 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
93 3 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
94 3 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
95 3 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
96 3 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
97 3 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
98 3 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
99 3 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
100 4 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
101 4 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
102 4 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
103 4 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
104 4 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
105 4 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
106 4 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
107 4 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
108 4 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
109 4 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
110 4 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
111 4 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
112 4 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
113 4 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
114 4 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
115 4 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
116 4 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
117 4 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
118 4 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
119 4 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
120 4 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
121 4 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
122 4 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
123 4 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
124 4 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
125 5 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
126 5 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
127 5 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
128 5 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 3 PENNY(S)
129 5 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 4 PENNY(S)
130 5 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 0 PENNY(S)
131 5 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 1 PENNY(S)
132 5 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 2 PENNY(S)
133 5 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 3 PENNY(S)
134 5 QUARTER(S), 0 DIME(S), 1 NICKEL(S), 4 PENNY(S)
135 5 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 0 PENNY(S)
136 5 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 1 PENNY(S)
137 5 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 2 PENNY(S)
138 5 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 3 PENNY(S)
139 5 QUARTER(S), 1 DIME(S), 0 NICKEL(S), 4 PENNY(S)
140 5 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 0 PENNY(S)
141 5 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 1 PENNY(S)
142 5 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 2 PENNY(S)
143 5 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 3 PENNY(S)
144 5 QUARTER(S), 1 DIME(S), 1 NICKEL(S), 4 PENNY(S)
145 5 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 0 PENNY(S)
146 5 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 1 PENNY(S)
147 5 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 2 PENNY(S)
148 5 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 3 PENNY(S)
149 5 QUARTER(S), 2 DIME(S), 0 NICKEL(S), 4 PENNY(S)
150 6 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 0 PENNY(S)
151 6 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 1 PENNY(S)
152 6 QUARTER(S), 0 DIME(S), 0 NICKEL(S), 2 PENNY(S)
