1 5 BEFAB
2 0 
3 19 DABFECABFEDBACDEFAB
4 NO SOLUTION
5 29 EDCBEDFAEDFAEDBCAFBDEFACDEFAB
6 NO SOLUTION
7 19 CBFACBFACDEFACDEFAB
8 NO SOLUTION
9 13 CDAFBEDCBEDCB
10 NO SOLUTION
11 21 DAEBDAEBDCFEBDCABEFAB
12 16 FAEDBCAFBCAFEDCB
13 0 
14 NO SOLUTION
15 NO SOLUTION
16 NO SOLUTION
17 NO SOLUTION
18 NO SOLUTION
19 NO SOLUTION
20 NO SOLUTION
21 NO SOLUTION
22 NO SOLUTION
23 13 CEABCEFDCBAFE
24 NO SOLUTION
25 NO SOLUTION
26 13 FDABECDFEBAFE
27 NO SOLUTION
28 NO SOLUTION
29 NO SOLUTION
30 NO SOLUTION
31 NO SOLUTION
32 NO SOLUTION
33 NO SOLUTION
34 NO SOLUTION
35 NO SOLUTION
36 18 DCABDCEFDCEFDCBAFE
37 NO SOLUTION
38 16 FEACBDEFBCAFEDCB
39 NO SOLUTION
40 NO SOLUTION
41 NO SOLUTION
42 NO SOLUTION
43 NO SOLUTION
44 NO SOLUTION
45 5 BEDCB
46 NO SOLUTION
47 NO SOLUTION
48 NO SOLUTION
49 NO SOLUTION
50 NO SOLUTION
51 NO SOLUTION
52 NO SOLUTION
53 NO SOLUTION
54 16 DBACDBFEDCAFEDCB
55 NO SOLUTION
56 21 EDACEDBFEDBFEDCAFEDCB
57 NO SOLUTION
58 NO SOLUTION
59 NO SOLUTION
60 NO SOLUTION
61 NO SOLUTION
62 NO SOLUTION
63 NO SOLUTION
64 NO SOLUTION
65 NO SOLUTION
66 21 EFBDACFEACFEBDCABEFAB
67 NO SOLUTION
68 NO SOLUTION
69 NO SOLUTION
70 19 DABFECABFEDBACDEFAB
71 NO SOLUTION
72 NO SOLUTION
73 10 CBEDCBEDCB
74 NO SOLUTION
75 NO SOLUTION
76 NO SOLUTION
77 NO SOLUTION
78 NO SOLUTION
79 NO SOLUTION
80 NO SOLUTION
81 18 DAEBDAFCDBEFABEFAB
82 NO SOLUTION
83 NO SOLUTION
84 NO SOLUTION
85 5 EBCDE
86 NO SOLUTION
87 NO SOLUTION
88 NO SOLUTION
89 NO SOLUTION
90 NO SOLUTION
91 NO SOLUTION
92 NO SOLUTION
93 NO SOLUTION
94 NO SOLUTION
95 18 BDAEBDFCBEAFDEBCDE
96 NO SOLUTION
97 NO SOLUTION
98 18 EACFEACFEBDCABEFAB
99 NO SOLUTION
100 NO SOLUTION
101 NO SOLUTION
102 NO SOLUTION
103 NO SOLUTION
104 NO SOLUTION
105 NO SOLUTION
106 NO SOLUTION
107 NO SOLUTION
